City,Latitude,Longitude
birch ocean front,26.1308333,-80.1063889
biscayne gardens,25.9130556,-80.2105556
biscayne park,25.8822222,-80.1808333
biscayne village,30.4361111,-81.7188889
bithlo,28.5544444,-81.1066667
black creek,30.5080556,-84.0883333
black diamond,28.9122222,-82.4861111
black hammock,30.5222222,-81.4808333
black point,29.4469444,-81.3052778
blackman,30.9244444,-86.6366667
blacks ford,30.0469444,-81.5605556
blacks still,30.4666667,-82.8022222
blake,29.1705556,-81.0388889
bland,29.9019444,-82.4991667
blanton,28.4113889,-82.2466667
blitchton,29.2822222,-82.3369444
blitchville,29.6447222,-82.8825
blocker,30.5872222,-84.2736111
bloomingdale,27.8933333,-82.2405556
blountstown,30.4433333,-85.0452778
blowing rocks,26.9766667,-80.0819444
bloxham,30.3883333,-84.6308333
blue gulf beach,30.3411111,-86.2058333
blue inlet,26.3780556,-80.0738889
blue lake,28.3027778,-82.0575
blue lakes ridge,28.985,-81.5311111
blue mountain beach,30.3372222,-86.1972222
blue springs,30.4863889,-83.22
blue springs landing,28.9430556,-81.34
bluefield,27.1997222,-80.5875
bluff springs,30.9361111,-87.2947222
bluffton,29.1261111,-81.5019444
boardman,29.4672222,-82.2141667
boca ciega,27.7602778,-82.7663889
boca del mar,26.3447222,-80.1469444
boca grande,26.7486111,-82.2622222
boca harbour,26.4122222,-80.0725
boca pointe,26.3327778,-80.1597222
boca raton,26.3583333,-80.0833333
boca west,26.3802778,-80.16
boden,28.8347222,-81.1261111
bogia,30.8422222,-87.3244444
bohemia,30.4833333,-87.16
bokeelia,26.7052778,-82.1591667
bon ami,30.1144444,-84.9872222
bon terra,29.5813889,-81.1883333
bonaventure,28.2736111,-80.6936111
bonifay,30.7916667,-85.6797222
bonita shores,26.3305556,-81.8269444
bonita springs,26.3394444,-81.7788889
bonnie,27.8630556,-81.9313889
bonnie lock,26.2791667,-80.1280556
bookertown,28.8280556,-81.3319444
bostwick,29.7738889,-81.6372222
boulogne,30.7713889,-81.9761111
bounds crossing,30.7980556,-85.9125
bowden,30.2658333,-81.6183333
bowling green,27.6380556,-81.8241667
boyd,30.1888889,-83.6066667
boyette,27.8172222,-82.2227778
boynton beach,26.525,-80.0666667
braden castle,27.4961111,-82.5305556
bradenton,27.4986111,-82.575
bradenton beach,27.4666667,-82.7041667
bradford,30.655,-85.5516667
bradfordville,30.5611111,-84.2177778
bradley junction,27.795,-81.9805556
branchborough,28.2588889,-82.0894444
branchton,28.1344444,-82.2872222
branchville,30.6538889,-84.4827778
brandon,27.9375,-82.2861111
branford,29.9588889,-82.9283333
brannonville,30.2244444,-85.5927778
bratt,30.9655556,-87.4275
breezeswept park estates,26.1288889,-80.2127778
brent,30.4686111,-87.2361111
brentwood,30.3588889,-81.6588889
brentwood estates,26.1891667,-80.1472222
brewers landing,29.8730556,-81.6208333
brewster,27.7525,-81.9797222
brickell hammock,25.7497222,-80.2047222
brickton,30.7336111,-87.3213889
brickyard,29.9625,-85.0219444
bridgeport,28.0269444,-82.6911111
bridges,27.4083333,-81.9069444
bridle path acres,30.5088889,-84.2625
brighton,27.2255556,-81.0952778
brightsville,30.3213889,-81.8525
briny breezes,26.5080556,-80.0511111
bristol,30.4319444,-84.9758333
broad branch,30.3113889,-85.2955556
broadview park,26.0991667,-80.2088889
broadwater,27.7263889,-82.6875
brock crossroad,30.6902778,-85.6294444
